offset_hex	va	encoding	value
0xDD0E	0x18000E90E	ascii	L$`H
0xDD85	0x18000E985	ascii	L$HH
0xDDB8	0x18000E9B8	ascii	L$0H
0xDDBD	0x18000E9BD	ascii	D$(H
0xDDFE	0x18000E9FE	ascii	D$`H
0xDE21	0x18000EA21	ascii	T$PfH
0xDF48	0x18000EB48	ascii	A_A^A]A\_^]
0xDF63	0x18000EB63	ascii	wvHc
0xE267	0x18000EE67	ascii	UVWATAUAVAWH
0xE31B	0x18000EF1B	ascii	L$0H
0xE320	0x18000EF20	ascii	D$(H
0xE358	0x18000EF58	ascii	D$@L
0xE35D	0x18000EF5D	ascii	l$PL
0xE373	0x18000EF73	ascii	L$PL
0xE436	0x18000F036	ascii	|$pL
0xE49E	0x18000F09E	ascii	l$pH
0xE59A	0x18000F19A	ascii	|$(L
0xE5A6	0x18000F1A6	ascii	t$ A
0xE5BC	0x18000F1BC	ascii	D$@L
0xE5C1	0x18000F1C1	ascii	l$PL
0xE5D7	0x18000F1D7	ascii	L$PL
0xE60E	0x18000F20E	ascii	D$pL
0xE631	0x18000F231	ascii	T$`fH
0xE68B	0x18000F28B	ascii	M(H3
0xE6AE	0x18000F2AE	ascii	A_A^A]A\_^]
0xE6C3	0x18000F2C3	ascii	USVWATAUAVAWH
0xE838	0x18000F438	ascii	d$(L
0xE844	0x18000F444	ascii	|$ A
0xE85A	0x18000F45A	ascii	D$@L
0xE85F	0x18000F45F	ascii	t$PL
0xE875	0x18000F475	ascii	L$PL
0xE8C2	0x18000F4C2	ascii	|$pL
0xE92A	0x18000F52A	ascii	t$pH
0xE9F6	0x18000F5F6	ascii	T$0H
0xE9FB	0x18000F5FB	ascii	D$(H
0xEA81	0x18000F681	ascii	L$pL
0xEA98	0x18000F698	ascii	D$`H
0xEB05	0x18000F705	ascii	t$PH
0xEB74	0x18000F774	ascii	A_A^A]A\_^[]
0xEB90	0x18000F790	ascii	@USVWATAUAVAWH
0xEBE3	0x18000F7E3	ascii	D$@H
0xEBEF	0x18000F7EF	ascii	D$ L
0xEBF4	0x18000F7F4	ascii	L$@L
0xEC18	0x18000F818	ascii	D$@H
0xEC24	0x18000F824	ascii	D$ L
0xEC29	0x18000F829	ascii	L$@L
0xEDB9	0x18000F9B9	ascii	D$`H
0xEDC2	0x18000F9C2	ascii	D$hH
0xEDCE	0x18000F9CE	ascii	D$ L
0xEDD3	0x18000F9D3	ascii	L$`L
0xEE9B	0x18000FA9B	ascii	D$@H
0xEEA7	0x18000FAA7	ascii	D$ L
0xEEAC	0x18000FAAC	ascii	L$@L
0xEECD	0x18000FACD	ascii	D$@H
0xEED9	0x18000FAD9	ascii	D$ L
0xEEDE	0x18000FADE	ascii	L$@L
0xEF02	0x18000FB02	ascii	D$@H
0xEF0E	0x18000FB0E	ascii	D$ L
0xEF13	0x18000FB13	ascii	L$@L
0xEF57	0x18000FB57	ascii	D$`H
0xEF5C	0x18000FB5C	ascii	D$`H
0xEF61	0x18000FB61	ascii	D$@H
0xEF66	0x18000FB66	ascii	D$hH
0xEF6B	0x18000FB6B	ascii	D$HH
0xEF77	0x18000FB77	ascii	D$ L
0xEF7C	0x18000FB7C	ascii	L$@L
0xEF9C	0x18000FB9C	ascii	D$`H
0xEFA1	0x18000FBA1	ascii	D$`H
0xEFA6	0x18000FBA6	ascii	D$@H
0xEFAB	0x18000FBAB	ascii	D$hH
0xEFB0	0x18000FBB0	ascii	D$HH
0xEFBC	0x18000FBBC	ascii	D$ L
0xEFC1	0x18000FBC1	ascii	L$@L
0xEFE8	0x18000FBE8	ascii	D$`H
0xEFED	0x18000FBED	ascii	D$`H
0xEFF2	0x18000FBF2	ascii	D$@H
0xEFF7	0x18000FBF7	ascii	D$hH
0xEFFC	0x18000FBFC	ascii	D$HH
0xF008	0x18000FC08	ascii	D$ L
0xF00D	0x18000FC0D	ascii	L$@L
0xF02D	0x18000FC2D	ascii	|$`H
0xF032	0x18000FC32	ascii	D$`H
0xF037	0x18000FC37	ascii	D$@H
0xF03C	0x18000FC3C	ascii	D$hH
0xF041	0x18000FC41	ascii	D$HH
0xF04D	0x18000FC4D	ascii	D$ L
0xF052	0x18000FC52	ascii	L$@L
0xF079	0x18000FC79	ascii	D$`H
0xF07E	0x18000FC7E	ascii	D$`H
0xF083	0x18000FC83	ascii	D$@H
0xF088	0x18000FC88	ascii	D$hH
0xF08D	0x18000FC8D	ascii	D$HH
0xF099	0x18000FC99	ascii	D$ L
0xF09E	0x18000FC9E	ascii	L$@L
0xF15F	0x18000FD5F	ascii	L$0L
0xF164	0x18000FD64	ascii	l$(H
0xF1E0	0x18000FDE0	ascii	D$`L
0xF1E5	0x18000FDE5	ascii	|$pL
0xF1FB	0x18000FDFB	ascii	L$pL
0xF2F8	0x18000FEF8	ascii	|$PH
0xF36F	0x18000FF6F	ascii	A_A^A]A\_^[]
